px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
10.4	-11.3561	-2.27264	1.88502	-0.164301	9.76634	-11.6976	6.25659	-7.54336	1.47701e+15	6.25	7.90505e-323
10.3215	-11.6997	-2.25293	1.77452	-0.220868	9.7856	-12.1262	6.35	-7.45	1.82027	1.82027	7.90505e-323
10.2213	-12.0222	-2.23732	1.66837	-0.270101	9.57233	-12.2948	6.452	-7.36418	1.47701e+15	6.45	7.90505e-323
9.97242	-12.373	-2.19645	1.47283	-0.380987	9.37132	-12.4833	6.6	-7.25	2.99862	1.99908	7.90505e-323
9.62084	-12.7088	-2.16519	1.21863	-0.529275	9.16109	-12.6848	6.7556	-7.14598	1.47701e+15	6.75	7.90505e-323
9.27505	-12.978	-2.1571	0.986717	-0.652537	8.85918	-12.7953	6.8	-7.05	0.908005	1.816	7.90505e-323
8.99799	-13.1822	-2.15892	0.82214	-0.716791	8.66865	-13.0114	6.86356	-6.94732	1.47701e+15	6.85	7.90505e-323
8.525	-13.345	-2.19047	0.509049	-0.889263	8.27267	-12.996	7	-6.85	2.72856	1.81904	7.90505e-323
8.26932	-13.4184	-2.1867	0.381412	-0.913424	8.04571	-13.0646	7.15695	-6.75136	1.47701e+15	7.15	7.90505e-323
7.95616	-13.4778	-2.21374	0.206483	-0.968266	7.86599	-13.4154	7.25	-6.65	1.8202	1.8202	7.90505e-323
7.67055	-13.4832	-2.22935	0.0555679	-1.00382	7.50783	-13.2944	7.35505	-6.56058	1.47701e+15	7.35	7.90505e-323
7.35388	-13.4268	-2.26889	-0.134754	-1.06746	7.19781	-13.1973	7.5	-6.5	2.99964	0.999884	7.90505e-323
7.07001	-13.3382	-2.27997	-0.28757	-1.09045	6.79473	-13.0433	7.65664	-6.46417	1.47701e+15	7.65	7.90505e-323
6.80241	-13.23	-2.31349	-0.440215	-1.11709	6.54114	-13.2079	7.75	-6.4	1.81709	0.908549	7.90505e-323
6.60723	-13.1532	-2.25013	-0.507211	-1.07118	6.27012	-13.1139	7.85193	-6.35845	1.47701e+15	7.85	7.90505e-323
6.35624	-12.9877	-2.29644	-0.659784	-1.09455	5.99498	-12.9442	8	-6.25	2.72931	1.81954	7.90505e-323
6.1464	-12.8329	-2.3082	-0.774714	-1.09013	5.73761	-12.8672	8.13749	-6.14586	1.47701e+15	8.15	7.90505e-323
5.96693	-12.6842	-2.29107	-0.868285	-1.07249	5.45236	-12.7392	8.25	-6.05	1.99977	1.99976	7.90505e-323
5.77879	-12.5084	-2.32808	-0.969592	-1.06456	5.26451	-12.5511	8.33626	-5.94674	1.47701e+15	8.35	7.90505e-323
5.59988	-12.3357	-2.35134	-1.05599	-1.04528	5.1317	-12.5744	8.5	-5.9	2.72796	0.909326	7.90505e-323
5.37872	-12.1345	-2.45517	-1.12671	-1.0176	4.89215	-12.1623	8.65894	-5.86309	1.47701e+15	8.65	7.90505e-323
5.23392	-11.9141	-2.46808	-1.21261	-1.00221	4.6421	-11.7788	8.75	-5.75	1.81776	1.81775	7.90505e-323
5.03557	-11.7053	-2.54376	-1.25406	-0.9611	4.58347	-11.632	8.85444	-5.64273	1.47701e+15	8.85	7.90505e-323
4.86042	-11.4641	-2.61002	-1.30237	-0.92661	4.46846	-11.2092	8.95	-5.55	1.99657	1.99656	7.90505e-323
4.81626	-11.1947	-2.58044	-1.41441	-0.935104	4.43672	-11.0976	9.05088	-5.45385	1.47701e+15	9.05	7.90505e-323
4.70274	-10.9295	-2.61186	-1.47165	-0.90625	4.40556	-10.7068	9.2	-5.4	2.72728	0.909094	7.90505e-323
4.74492	-10.6553	-2.58475	-1.60215	-0.933682	4.44716	-10.5583	9.34223	-5.32623	1.47701e+15	9.35	7.90505e-323
4.72136	-10.3945	-2.59417	-1.67715	-0.921229	4.45602	-10.2142	9.45	-5.25	1.81816	1.81815	7.90505e-323
4.68088	-10.13	-2.6083	-1.72775	-0.888679	4.56608	-10.005	9.55303	-5.13194	1.47701e+15	9.55	7.90505e-323
4.75422	-9.83489	-2.61286	-1.83839	-0.897769	4.62339	-9.6559	9.65	-5.05	1.82036	1.82036	7.90505e-323
