px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS_laser	NIS_radar
96.2889	19.2358	0.934432	-0.488079	-0.113784	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	N/A	0.675455
97.5002	18.7106	1.49854	-0.380214	-0.00230523	97.5286	18.727	97.45	18.506	0.868716	-0.503009	2.01452	N/A
97.4761	18.7063	1.12007	-0.425579	-0.0334745	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	N/A	1.11107
98.2192	18.3702	0.730723	-0.43021	-0.0202713	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.432309	N/A
98.2354	18.3706	0.8827	-0.419547	-0.0127052	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	N/A	0.399355
99.0634	17.43	1.22552	-1.00229	-0.310467	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	7.33295	N/A
99.0922	17.4616	1.6672	-0.87641	-0.201242	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	N/A	3.11442
99.9813	16.963	0.789034	-0.725966	-0.0189034	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	3.57312	N/A
100.024	16.9597	1.16789	-0.684598	0.00894048	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	N/A	3.04939
101.169	16.4999	1.22174	-0.335192	0.205036	101.204	16.5368	101.065	16.497	0.991362	-0.513687	3.35221	N/A
101.16	16.5022	1.0415	-0.343702	0.196671	101.169	16.4353	101.065	16.497	0.991362	-0.513687	N/A	0.214007
102.373	16.3769	1.31638	0.0361895	0.294895	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	1.03909	N/A
102.337	16.3743	1.00292	0.0276753	0.288056	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	N/A	2.02796
102.998	15.477	0.258105	-0.704708	-0.236755	103.003	15.353	103.119	15.4967	1.11708	-0.508169	22.7163	N/A
103.025	15.4938	1.26454	-0.701091	-0.220327	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	N/A	8.55884
104.081	15.2298	0.868892	-0.380788	0.0608903	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	5.59497	N/A
104.084	15.2179	1.27161	-0.367785	0.0682004	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	N/A	1.79201
105.536	14.4647	1.78569	-0.500356	-0.039465	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	1.52846	N/A
105.506	14.4576	1.52992	-0.526744	-0.0635071	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	N/A	1.27229
106.818	14.0254	1.35314	-0.324498	0.082785	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	1.55498	N/A
106.805	14.0222	1.51261	-0.326946	0.0833812	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	N/A	1.50127
108.089	13.658	1.29335	-0.227504	0.09241	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.142678	N/A
108.103	13.6581	1.55346	-0.22131	0.0995157	108.131	13.6844	108.122	13.644	1.47592	-0.423202	N/A	0.445415
109.535	13.5594	1.4176	-0.00584757	0.165333	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.352384	N/A
109.526	13.5573	1.45668	-0.00853189	0.164069	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	N/A	0.45706
111.056	12.6695	1.45554	-0.627946	-0.284048	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	14.961	N/A
111.105	12.6939	2.03936	-0.590031	-0.241817	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	N/A	3.92578
112.883	12.4448	1.47581	-0.216779	0.112007	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	8.86527	N/A
